stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
143,,Donja Gorica - hotel (B),,42.418573,19.200574,,,,,,
144,,Milana Raičkovića II (B),,42.454406,19.225997,,,,,,
145,,Stadion Tološi (B),,42.45080081,19.22452393,,,,,,
147,,Capital plaza I (A),,42.440194,19.244021,,,,,,
148,,Meše Selimović (B),,42.447591,19.238652,,,,,,
149,,Blok 5 - zadnja zgrada (B),,42.450121,19.240503,,,,,,
150,,Blok 5 (žuta zgrada) (B),,42.44870769,19.24320817,,,,,,
151,,Orjenska IV (B),,42.458714,19.295809,,,,,,
154,,Cara Lazara I (B),,42.430299,19.277439,,,,,,
155,,Partizanski put III (A),,42.458007,19.199966,,,,,,
156,,Donja Gorica III (B),,42.419916,19.212595,,,,,,
157,,Kakaricka gora - vrt (A),,42.445188,19.304106,,,,,,
158,,Tološko groblje I (B),,42.454935,19.213855,,,,,,
159,,Španskih boraca II (A),,42.42968596,19.29797899,,,,,,
160,,Španskih boraca I (B),,42.42723982,19.2995299,,,,,,
161,,Bulevar Revolucije (B),,42.44046991,19.24863696,,,,,,
163,,Gornja Gorica (B),,42.434072,19.225613,,,,,,
166,,Donja Gorica I (B),,42.425491,19.221122,,,,,,
167,,Janka Đonovića I (B),,42.41833459,19.24394315,,,,,,
168,,Ul. AVNOJ-a (B),,42.4155877,19.24877644,,,,,,
169,,Manastirska II (B),,42.405481,19.241863,,,,,,
170,,Dalmatinska II (A),,42.449174,19.243485,,,,,,
171,,Milana Raičkovića (B),,42.453132,19.230237,,,,,,
172,,Office centar (A),,42.435948,19.292789,,,,,,
173,,Zgrada Vektre (A),,42.441781,19.247515,,,,,,
174,,Tološi I (A),,42.448606,19.231862,,,,,,
175,,Gornja Gorica II (A),,42.438262,19.218321,,,,,,
176,,Gornja Gorica II (B),,42.438159,19.218464,,,,,,
177,,Ul. Iva Andrića - škola (A),,42.45462231,19.2743862,,,,,,
180,,27. marta I (A),,42.425926,19.247664,,,,,,
181,,Boška Buhe I (A),,42.455259,19.232299,,,,,,
182,,Dom zdravlja Pobrežje (B),,42.430477,19.259059,,,,,,
183,,Milana Raičkovića I (B),,42.453884,19.228241,,,,,,
184,,Bulevar Revolucije (A),,42.44060451,19.24858868,,,,,,
185,,Donja Gorica II (B),,42.421942,19.215677,,,,,,
186,,V Proleterske brigade (B),,42.4373,19.269658,,,,,,
190,,Milana Raičkovića IV (A),,42.455314,19.219901,,,,,,
191,,Kralja Nikole (B),,42.426483,19.255466,,,,,,
192,,Spomenik (B),,42.448589,19.289277,,,,,,
193,,Tološko groblje (A),,42.454186,19.215793,,,,,,
194,,Mojkovačka (B),,42.437177,19.277092,,,,,,
195,,Tološi II (B),,42.449712,19.227995,,,,,,
196,,Ul. Nikole Tesle II (A),,42.460264,19.273375,,,,,,
197,,OŠ Pavle Rovinski (B),,42.42731652,19.2757273,,,,,,
198,,Cijevna (B),,42.399892,19.297837,,,,,,
199,,IX Crnogorske brigade (A),,42.454445,19.270839,,,,,,
200,,Most Braće Zlatičanin (B),,42.438499,19.261931,,,,,,
201,,Trg Golootočkih žrtava (B),,42.43257947,19.26826,,,,,,
202,,Ul. Oktobarske revolucije I (A),,42.43442053,19.2646873,,,,,,
203,,Konik (A),,42.42465834,19.3018949,,,,,,
204,,Vrela ribnička (A),,42.43476385,19.29425424,,,,,,
